role,source_class,case_id,severity,mean_tracking_deficit_pct,minimum_tracking_deficit_pct,maximum_tracking_deficit_pct,lifecycle_pass,safety_and_saturation_pass,headroom_gate_pass,candidate_gate_pass
tuning,structure,structure_ei_remaining_0p75,0.75,0.05614851342392393,0.0007623359395882235,0.10571865976464567,True,True,False,False
tuning,structure,structure_ei_remaining_0p50,0.5,0.07321789915382587,-0.02909808634388448,0.14495651055335873,True,True,False,False
tuning,structure,structure_ei_remaining_0p25,0.25,-0.8819209225210285,-0.9092154690187517,-0.829302597606627,True,True,False,False
tuning,structure,structure_ei_remaining_0p10,0.1,-2.229310668324267,-2.3001665461354888,-2.1471727367826627,True,True,False,False
tuning,structure,structure_ei_remaining_0p05,0.05,-4.996198199048818,-5.029978779799969,-4.960657016169504,True,True,False,False
tuning,actuator,actuator_gain_remaining_0p85,0.85,2.678174029908934,2.633425633812192,2.7236564018024487,True,True,False,False
tuning,actuator,actuator_gain_remaining_0p70,0.7,6.283725681290441,6.269099571541032,6.310726347780269,True,True,False,False
tuning,actuator,actuator_gain_remaining_0p50,0.5,13.189382875399895,13.10831426073083,13.267561120891578,True,True,True,True
tuning,actuator,actuator_gain_remaining_0p25,0.25,23.094054813474923,22.97347232572051,23.189094410431416,True,True,True,True
tuning,actuator,actuator_gain_remaining_0p10,0.1,65.99031368137733,65.52613025762926,66.36645648263935,True,True,True,True
assessment,structure,structure_ei_remaining_0p75,0.75,0.10678067482480391,0.08912684469092592,0.13111201589140506,True,True,False,False
assessment,structure,structure_ei_remaining_0p50,0.5,0.08217486957929845,0.05560299683393375,0.10822521644102952,True,True,False,False
assessment,structure,structure_ei_remaining_0p25,0.25,-0.8900307825663059,-0.9685505967282803,-0.7919391976307385,True,True,False,False
assessment,structure,structure_ei_remaining_0p10,0.1,-2.231025419704701,-2.280223495311986,-2.190492786761035,True,True,False,False
assessment,structure,structure_ei_remaining_0p05,0.05,-5.003782299213315,-5.058736138040897,-4.936045008859599,True,True,False,False
assessment,actuator,actuator_gain_remaining_0p85,0.85,2.692634616721217,2.639051338050285,2.7503841897926917,True,True,False,False
assessment,actuator,actuator_gain_remaining_0p70,0.7,6.277190726838953,6.2362239339547,6.372206419999418,True,True,False,False
assessment,actuator,actuator_gain_remaining_0p50,0.5,13.201453980942663,13.119727270824722,13.32617359723202,True,True,True,True
assessment,actuator,actuator_gain_remaining_0p25,0.25,23.160934388653637,23.031393428348363,23.24410859126783,True,True,True,True
assessment,actuator,actuator_gain_remaining_0p10,0.1,65.73075883862333,65.39802101034093,66.36669935531388,True,True,True,True
